level,trim_-6.0,trim_-5.5,trim_-5.0,trim_-4.5,trim_-4.0,trim_-3.5,trim_-3.0,trim_-2.5,trim_-2.0,trim_-1.5,trim_-1.0,trim_-0.5,trim_0.0,trim_0.5,trim_1.0,trim_1.5,trim_2.0
105,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
106,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
107,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
108,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
109,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
110,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
111,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
112,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
113,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
114,-77.0,-70.0,-64.0,-58.0,-51.0,-45.0,-39.0,-32.0,-26.0,-19.0,-13.0,-6.0,0.0,7.0,13.0,20.0,26.0
