level,trim_-5.0,trim_-4.0,trim_-3.0,trim_-2.0,trim_-1.0,trim_0.0,trim_1.0,trim_2.0
273,276.5,279,281.6,284.3,287,289.9,292.8,295.7
274,278.1,280.6,283.3,285.9,288.7,291.5,294.4,297.4
275,279.7,282.3,284.9,287.6,290.3,293.2,296.1,299.1
276,281.3,283.9,286.5,289.2,292,294.8,297.7,300.7
277,283,285.5,288.2,290.8,293.6,296.5,299.4,302.4
278,284.6,287.2,289.8,292.5,295.3,298.1,301,304
279,286.2,288.8,291.4,294.1,296.9,299.8,302.7,305.7
280,287.9,290.4,293.1,295.8,298.6,301.4,304.4,307.4
281,289.5,292.1,294.7,297.4,300.2,303.1,306,309.1
282,291.2,293.7,296.4,299.1,301.9,304.8,307.7,310.7
283,292.8,295.4,298,300.8,303.6,306.4,309.4,312.4
284,294.5,297,299.7,302.4,305.2,308.1,311.1,314.1
285,296.1,298.7,301.4,304.1,306.9,309.8,312.8,315.8
286,297.8,300.3,303,305.8,308.6,311.5,314.4,317.5
287,299.4,302,304.7,307.4,310.3,313.2,316.1,319.2
288,301.1,303.7,306.3,309.1,311.9,314.8,317.8,320.9
289,302.7,305.3,308,310.8,313.6,316.5,319.5,322.5
290,304.4,307,309.7,312.5,315.3,318.2,321.2,324.2
291,306.1,308.7,311.4,314.1,317,319.9,322.9,325.9
292,307.7,310.3,313,315.8,318.7,321.6,324.6,327.6
293,309.4,312,314.7,317.5,320.4,323.3,326.3,329.4
294,311.1,313.7,316.4,319.2,322.1,325,328,331.1
295,312.7,315.4,318.1,320.9,323.8,326.7,329.7,332.8
296,314.4,317.1,319.8,322.6,325.5,328.4,331.4,334.5
297,316.1,318.7,321.5,324.3,327.2,330.1,333.1,336.2
298,317.8,320.4,323.2,326,328.9,331.8,334.8,337.9
299,319.5,322.1,324.9,327.7,330.6,333.5,336.6,339.6
300,321.2,323.8,326.6,329.4,332.3,335.2,338.3,341.4
301,322.9,325.5,328.3,331.1,334,337,340,343.1
302,324.6,327.2,330,332.8,335.7,338.7,341.7,344.8
303,326.3,328.9,331.7,334.5,337.4,340.4,343.4,346.6
304,328,330.6,333.4,336.2,339.1,342.1,345.2,348.3
305,329.7,332.3,335.1,338,340.9,343.8,346.9,350
306,331.4,334.1,336.8,339.7,342.6,345.6,348.6,351.8
307,333.1,335.8,338.5,341.4,344.3,347.3,350.4,353.5
308,334.8,337.5,340.3,343.1,346,349,352.1,355.2
309,336.5,339.2,342,344.8,347.8,350.8,353.8,357
310,338.2,340.9,343.7,346.6,349.5,352.5,355.6,358.7
311,339.9,342.7,345.4,348.3,351.2,354.3,357.3,360.5
312,341.7,344.4,347.2,350.1,353,356,359.1,362.2
313,343.4,346.1,348.9,351.8,354.7,357.7,360.8,364
314,345.1,347.8,350.7,353.5,356.5,359.5,362.6,365.7
315,346.8,349.6,352.4,355.3,358.2,361.2,364.3,367.5
316,348.6,351.3,354.1,357,360,363,366.1,369.3
317,350.3,353.1,355.9,358.8,361.7,364.8,367.9,371
318,352,354.8,357.6,360.5,363.5,366.5,369.6,372.8
319,353.8,356.5,359.4,362.3,365.2,368.3,371.4,374.6
320,355.5,358.3,361.1,364,367,370,373.1,376.3
321,357.3,360,362.9,365.8,368.8,371.8,374.9,378.1
322,359,361.8,364.6,367.5,370.5,373.6,376.7,379.9
323,360.8,363.5,366.4,369.3,372.3,375.3,378.5,381.7
324,362.5,365.3,368.1,371.1,374.1,377.1,380.2,383.4
325,364.3,367.1,369.9,372.8,375.8,378.9,382,385.2
326,366,368.8,371.7,374.6,377.6,380.7,383.8,387
327,367.8,370.6,373.4,376.4,379.4,382.4,385.6,388.8
328,369.5,372.3,375.2,378.1,381.2,384.2,387.4,390.6
329,371.3,374.1,377,379.9,382.9,386,389.2,392.4
330,373.1,375.9,378.8,381.7,384.7,387.8,390.9,394.2
331,374.8,377.7,380.5,383.5,386.5,389.6,392.7,395.9
332,376.6,379.4,382.3,385.3,388.3,391.4,394.5,397.7
333,378.4,381.2,384.1,387,390.1,393.2,396.3,399.5
334,380.2,383,385.9,388.8,391.9,395,398.1,401.3
335,381.9,384.8,387.7,390.6,393.7,396.8,399.9,403.2
336,383.7,386.5,389.4,392.4,395.5,398.6,401.7,405
