level,trim_-5.0,trim_-4.5,trim_-4.0,trim_-3.5,trim_-3.0,trim_-2.5,trim_-2.0,trim_-1.5,trim_-1.0,trim_-0.5,trim_0.0,trim_0.5,trim_1.0,trim_1.5,trim_2.0
2201,-177.01,-160.608,-143.804,-126.804,-109.402,-91.402,-73.402,-55.402,-37.0,-19.0,0.0,19.0,38.0,57.0,76.598
2202,-177.02,-160.616,-143.808,-126.808,-109.404,-91.404,-73.404,-55.404,-37.0,-19.0,0.0,19.0,38.0,57.0,76.596
2203,-177.03,-160.624,-143.812,-126.812,-109.406,-91.406,-73.406,-55.406,-37.0,-19.0,0.0,19.0,38.0,57.0,76.594
2204,-177.04,-160.632,-143.816,-126.816,-109.408,-91.408,-73.408,-55.408,-37.0,-19.0,0.0,19.0,38.0,57.0,76.592
2205,-177.05,-160.64,-143.82,-126.82,-109.41,-91.41,-73.41,-55.41,-37.0,-19.0,0.0,19.0,38.0,57.0,76.59
2206,-177.06,-160.648,-143.824,-126.824,-109.412,-91.412,-73.412,-55.412,-37.0,-19.0,0.0,19.0,38.0,57.0,76.588
2207,-177.07,-160.656,-143.828,-126.828,-109.414,-91.414,-73.414,-55.414,-37.0,-19.0,0.0,19.0,38.0,57.0,76.586
2208,-177.08,-160.664,-143.832,-126.832,-109.416,-91.416,-73.416,-55.416,-37.0,-19.0,0.0,19.0,38.0,57.0,76.584
2209,-177.09,-160.672,-143.836,-126.836,-109.418,-91.418,-73.418,-55.418,-37.0,-19.0,0.0,19.0,38.0,57.0,76.582
2210,-177.1,-160.68,-143.84,-126.84,-109.42,-91.42,-73.42,-55.42,-37.0,-19.0,0.0,19.0,38.0,57.0,76.58
2211,-177.11,-160.688,-143.844,-126.844,-109.422,-91.422,-73.422,-55.422,-37.0,-19.0,0.0,19.0,38.0,57.0,76.578
2212,-177.12,-160.696,-143.848,-126.848,-109.424,-91.424,-73.424,-55.424,-37.0,-19.0,0.0,19.0,38.0,57.0,76.576
2213,-177.13,-160.704,-143.852,-126.852,-109.426,-91.426,-73.426,-55.426,-37.0,-19.0,0.0,19.0,38.0,57.0,76.574
2214,-177.14,-160.712,-143.856,-126.856,-109.428,-91.428,-73.428,-55.428,-37.0,-19.0,0.0,19.0,38.0,57.0,76.572
2215,-177.15,-160.72,-143.86,-126.86,-109.43,-91.43,-73.43,-55.43,-37.0,-19.0,0.0,19.0,38.0,57.0,76.57
2216,-177.16,-160.728,-143.864,-126.864,-109.432,-91.432,-73.432,-55.432,-37.0,-19.0,0.0,19.0,38.0,57.0,76.568
2217,-177.17,-160.736,-143.868,-126.868,-109.434,-91.434,-73.434,-55.434,-37.0,-19.0,0.0,19.0,38.0,57.0,76.566
2218,-177.18,-160.744,-143.872,-126.872,-109.436,-91.436,-73.436,-55.436,-37.0,-19.0,0.0,19.0,38.0,57.0,76.564
2219,-177.19,-160.752,-143.876,-126.876,-109.438,-91.438,-73.438,-55.438,-37.0,-19.0,0.0,19.0,38.0,57.0,76.562
2220,-177.2,-160.76,-143.88,-126.88,-109.44,-91.44,-73.44,-55.44,-37.0,-19.0,0.0,19.0,38.0,57.0,76.56
2221,-177.21,-160.768,-143.884,-126.884,-109.442,-91.442,-73.442,-55.442,-37.0,-19.0,0.0,19.0,38.0,57.0,76.558
2222,-177.22,-160.776,-143.888,-126.888,-109.444,-91.444,-73.444,-55.444,-37.0,-19.0,0.0,19.0,38.0,57.0,76.556
2223,-177.23,-160.784,-143.892,-126.892,-109.446,-91.446,-73.446,-55.446,-37.0,-19.0,0.0,19.0,38.0,57.0,76.554
2224,-177.24,-160.792,-143.896,-126.896,-109.448,-91.448,-73.448,-55.448,-37.0,-19.0,0.0,19.0,38.0,57.0,76.552
2225,-177.25,-160.8,-143.9,-126.9,-109.45,-91.45,-73.45,-55.45,-37.0,-19.0,0.0,19.0,38.0,57.0,76.55
2226,-177.26,-160.808,-143.904,-126.904,-109.452,-91.452,-73.452,-55.452,-37.0,-19.0,0.0,19.0,38.0,57.0,76.548
2227,-177.27,-160.816,-143.908,-126.908,-109.454,-91.454,-73.454,-55.454,-37.0,-19.0,0.0,19.0,38.0,57.0,76.546
2228,-177.28,-160.824,-143.912,-126.912,-109.456,-91.456,-73.456,-55.456,-37.0,-19.0,0.0,19.0,38.0,57.0,76.544
2229,-177.29,-160.832,-143.916,-126.916,-109.458,-91.458,-73.458,-55.458,-37.0,-19.0,0.0,19.0,38.0,57.0,76.542
2230,-177.3,-160.84,-143.92,-126.92,-109.46,-91.46,-73.46,-55.46,-37.0,-19.0,0.0,19.0,38.0,57.0,76.54
2231,-177.31,-160.848,-143.924,-126.924,-109.462,-91.462,-73.462,-55.462,-37.0,-19.0,0.0,19.0,38.0,57.0,76.538
2232,-177.32,-160.856,-143.928,-126.928,-109.464,-91.464,-73.464,-55.464,-37.0,-19.0,0.0,19.0,38.0,57.0,76.536
2233,-177.33,-160.864,-143.932,-126.932,-109.466,-91.466,-73.466,-55.466,-37.0,-19.0,0.0,19.0,38.0,57.0,76.534
2234,-177.34,-160.872,-143.936,-126.936,-109.468,-91.468,-73.468,-55.468,-37.0,-19.0,0.0,19.0,38.0,57.0,76.532
2235,-177.35,-160.88,-143.94,-126.94,-109.47,-91.47,-73.47,-55.47,-37.0,-19.0,0.0,19.0,38.0,57.0,76.53
2236,-177.36,-160.888,-143.944,-126.944,-109.472,-91.472,-73.472,-55.472,-37.0,-19.0,0.0,19.0,38.0,57.0,76.528
2237,-177.37,-160.896,-143.948,-126.948,-109.474,-91.474,-73.474,-55.474,-37.0,-19.0,0.0,19.0,38.0,57.0,76.526
2238,-177.38,-160.904,-143.952,-126.952,-109.476,-91.476,-73.476,-55.476,-37.0,-19.0,0.0,19.0,38.0,57.0,76.524
