level,trim_-5.0,trim_-4.5,trim_-4.0,trim_-3.5,trim_-3.0,trim_-2.5,trim_-2.0,trim_-1.5,trim_-1.0,trim_-0.5,trim_0.0,trim_0.5,trim_1.0,trim_1.5,trim_2.0
8780,-135.56,-121.56,-107.56,-94.0,-80.56,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8790,-135.58,-121.58,-107.58,-94.0,-80.58,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8800,-135.6,-121.6,-107.6,-94.0,-80.6,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8810,-135.62,-121.62,-107.62,-94.0,-80.62,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8820,-135.64,-121.64,-107.64,-94.0,-80.64,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8830,-135.66,-121.66,-107.66,-94.0,-80.66,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8840,-135.68,-121.68,-107.68,-94.0,-80.68,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8850,-135.7,-121.7,-107.7,-94.0,-80.7,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8860,-135.72,-121.72,-107.72,-94.0,-80.72,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8870,-135.74,-121.74,-107.74,-94.0,-80.74,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8880,-135.76,-121.76,-107.76,-94.0,-80.76,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8890,-135.78,-121.78,-107.78,-94.0,-80.78,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8900,-135.8,-121.8,-107.8,-94.0,-80.8,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8910,-135.82,-121.82,-107.82,-94.0,-80.82,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8920,-135.84,-121.84,-107.84,-94.0,-80.84,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8930,-135.86,-121.86,-107.86,-94.0,-80.86,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8940,-135.88,-121.88,-107.88,-94.0,-80.88,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8950,-135.9,-121.9,-107.9,-94.0,-80.9,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8960,-135.92,-121.92,-107.92,-94.0,-80.92,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8970,-135.94,-121.94,-107.94,-94.0,-80.94,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8980,-135.96,-121.96,-107.96,-94.0,-80.96,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
8990,-135.98,-121.98,-107.98,-94.0,-80.98,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
9000,-136.0,-122.0,-108.0,-94.0,-81.0,-67.0,-53.0,-40.0,-26.0,-13.0,0.0,13.0,26.0,39.0,52.0
9010,-136.04,-122.04,-108.02,-94.02,-81.0,-67.0,-53.02,-40.0,-26.02,-13.0,0.0,13.0,26.0,39.0,51.98
9020,-136.08,-122.08,-108.04,-94.04,-81.0,-67.0,-53.04,-40.0,-26.04,-13.0,0.0,13.0,26.0,39.0,51.96
9030,-136.12,-122.12,-108.06,-94.06,-81.0,-67.0,-53.06,-40.0,-26.06,-13.0,0.0,13.0,26.0,39.0,51.94
9040,-136.16,-122.16,-108.08,-94.08,-81.0,-67.0,-53.08,-40.0,-26.08,-13.0,0.0,13.0,26.0,39.0,51.92
9050,-136.2,-122.2,-108.1,-94.1,-81.0,-67.0,-53.1,-40.0,-26.1,-13.0,0.0,13.0,26.0,39.0,51.9
9060,-136.24,-122.24,-108.12,-94.12,-81.0,-67.0,-53.12,-40.0,-26.12,-13.0,0.0,13.0,26.0,39.0,51.88
9070,-136.28,-122.28,-108.14,-94.14,-81.0,-67.0,-53.14,-40.0,-26.14,-13.0,0.0,13.0,26.0,39.0,51.86
9080,-136.32,-122.32,-108.16,-94.16,-81.0,-67.0,-53.16,-40.0,-26.16,-13.0,0.0,13.0,26.0,39.0,51.84
9090,-136.36,-122.36,-108.18,-94.18,-81.0,-67.0,-53.18,-40.0,-26.18,-13.0,0.0,13.0,26.0,39.0,51.82
9100,-136.4,-122.4,-108.2,-94.2,-81.0,-67.0,-53.2,-40.0,-26.2,-13.0,0.0,13.0,26.0,39.0,51.8
9110,-136.44,-122.44,-108.22,-94.22,-81.0,-67.0,-53.22,-40.0,-26.22,-13.0,0.0,13.0,26.0,39.0,51.78
9120,-136.48,-122.48,-108.24,-94.24,-81.0,-67.0,-53.24,-40.0,-26.24,-13.0,0.0,13.0,26.0,39.0,51.76
9130,-136.52,-122.52,-108.26,-94.26,-81.0,-67.0,-53.26,-40.0,-26.26,-13.0,0.0,13.0,26.0,39.0,51.74
9140,-136.56,-122.56,-108.28,-94.28,-81.0,-67.0,-53.28,-40.0,-26.28,-13.0,0.0,13.0,26.0,39.0,51.72
9150,-136.6,-122.6,-108.3,-94.3,-81.0,-67.0,-53.3,-40.0,-26.3,-13.0,0.0,13.0,26.0,39.0,51.7
9160,-136.64,-122.64,-108.32,-94.32,-81.0,-67.0,-53.32,-40.0,-26.32,-13.0,0.0,13.0,26.0,39.0,51.68
9170,-136.68,-122.68,-108.34,-94.34,-81.0,-67.0,-53.34,-40.0,-26.34,-13.0,0.0,13.0,26.0,39.0,51.66
9180,-136.72,-122.72,-108.36,-94.36,-81.0,-67.0,-53.36,-40.0,-26.36,-13.0,0.0,13.0,26.0,39.0,51.64
9190,-136.76,-122.76,-108.38,-94.38,-81.0,-67.0,-53.38,-40.0,-26.38,-13.0,0.0,13.0,26.0,39.0,51.62
