level,list_-5.0,list_-4.0,list_-3.0,list_-2.0,list_-1.0,list_0.0,list_1.0,list_2.0,list_3.0,list_4.0,list_5.0
270,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
271,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
272,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
273,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
274,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
275,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
276,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
277,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
278,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
279,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
280,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
281,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
282,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
283,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
284,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
285,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
286,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
287,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
288,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
289,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
290,-3.4,-2.8,-2.1,-1.4,-0.7,0,0.7,1.4,2.1,2.8,3.5
