level,list_-3.0,list_-2.0,list_-1.5,list_-1.0,list_-0.5,list_0.0,list_0.5,list_1.0,list_1.5,list_2.0,list_3.0
118,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
119,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
120,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
121,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
122,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
123,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
124,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
125,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
126,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
127,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
128,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
129,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
130,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
131,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
132,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
133,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
134,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
135,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
136,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
137,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
138,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
139,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
140,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
141,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
142,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
143,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
144,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
145,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
146,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
147,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
148,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
149,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
150,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
