level,trim_-5.0,trim_-4.5,trim_-4.0,trim_-3.5,trim_-3.0,trim_-2.5,trim_-2.0,trim_-1.5,trim_-1.0,trim_-0.5,trim_0.0,trim_0.5,trim_1.0,trim_1.5,trim_2.0
86,35.28,27.28,19.14,11.14,4.0,-3.1400000000000006,-9.419999999999995,-14.840000000000003,-17.68,-12.920000000000002,0.0,22.12,45.96,72.52,99.8
87,34.76,26.759999999999998,18.630000000000003,10.630000000000003,3.5,-3.6300000000000026,-9.89,-15.280000000000001,-18.060000000000002,-13.14,0.0,22.04,45.82,72.34,99.6
88,34.239999999999995,26.239999999999995,18.119999999999997,10.119999999999997,3.0,-4.119999999999997,-10.36,-15.719999999999999,-18.439999999999998,-13.36,0.0,21.96,45.68,72.16,99.4
89,33.72,25.72,17.61,9.61,2.5,-4.609999999999999,-10.829999999999998,-16.160000000000004,-18.82,-13.580000000000002,0.0,21.88,45.54,71.98,99.2
90,33.199999999999996,25.199999999999996,17.1,9.100000000000001,2.0,-5.100000000000001,-11.299999999999997,-16.6,-19.200000000000003,-13.8,0.0,21.8,45.4,71.8,99.0
91,32.68,24.68,16.589999999999996,8.589999999999996,1.5,-5.589999999999996,-11.769999999999996,-17.04,-19.58,-14.02,0.0,21.72,45.26,71.62,98.8
92,32.16,24.159999999999997,16.08,8.079999999999998,1.0,-6.079999999999998,-12.239999999999995,-17.479999999999997,-19.96,-14.239999999999998,0.0,21.64,45.12,71.44,98.6
93,31.64,23.64,15.57,7.57,0.5,-6.57,-12.71,-17.92,-20.340000000000003,-14.46,0.0,21.56,44.98,71.26,98.4
94,31.119999999999997,23.119999999999997,15.060000000000002,7.060000000000002,0.0,-7.060000000000002,-13.18,-18.36,-20.72,-14.68,0.0,21.48,44.839999999999996,71.08,98.2
95,30.6,22.6,14.549999999999997,6.549999999999997,-0.5,-7.549999999999997,-13.649999999999999,-18.799999999999997,-21.1,-14.899999999999999,0.0,21.4,44.7,70.9,98.0
96,30.08,22.08,14.04,6.039999999999999,-1.0,-8.04,-14.119999999999997,-19.240000000000002,-21.480000000000004,-15.120000000000001,0.0,21.32,44.56,70.72,97.8
97,29.559999999999995,21.559999999999995,13.530000000000001,5.530000000000001,-1.5,-8.530000000000001,-14.589999999999996,-19.68,-21.86,-15.34,0.0,21.240000000000002,44.42,70.53999999999999,97.6
